,registro_funcional,num_vinculo,dc_cargo_base,grupo_cargo_base,nivel_cargo_base,segmento_cargo_base,referencia_cargo_comissao,relacao_juridica,qt_hora_jornada_semanal,dc_orgao,qtd_servidores_orgao,ano_nascimento,sexo,raca,pessoa_com_deficiencia,vl_remuneracao_base_mensal,vl_outro_elemento_remuneracao,vl_remuneracao_total_bruta,cedido,tempo_exercicio_dias
545,6275265,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1960,M,BRANCA,NAO,20257.45,3148.03,23405.48,False,10976
546,6275281,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1965,M,BRANCA,NAO,19541.48,3669.14,23210.62,False,10975
547,6275320,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1964,M,BRANCA,NAO,16753.67,3008.21,19761.88,False,10965
548,6275362,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1962,M,BRANCA,NAO,16753.67,2116.71,18870.38,False,10976
549,6275371,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA SANTO AMARO,149.0,1960,M,BRANCA,NAO,14958.63,2506.43,17465.06,False,10972
550,6275389,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,898.0,1956,M,BRANCA,NAO,15559.64,2590.57,18150.21,False,10965
551,6275397,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1966,M,BRANCA,NAO,18093.95,294.45,18388.4,False,10975
552,6275451,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA CASA VERDE/CACHOEIRINHA,110.0,1964,M,BRANCA,NAO,17100.11,412.23,17512.34,False,10992
553,6275494,2,AUDITOR FISCAL TRIBUTARIO MUNICIPAL,QPAT,II,,,EFETIVO,44,SECRETARIA MUNICIPAL DA FAZENDA,972.0,1963,M,BRANCA,NAO,24175.55,8931.34,33106.89,False,8022
554,6275524,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1958,M,PARDA,NAO,16753.67,2757.74,19511.41,False,10968
555,6275575,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS09,EFETIVO,40,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,509.0,1962,M,BRANCA,NAO,17111.64,5609.68,22721.32,False,10969
556,6275591,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1962,M,BRANCA,NAO,19541.48,412.23,19953.71,False,10972
557,6275621,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,SUBPREFEITURA BUTANTA,122.0,1960,F,BRANCA,NAO,17677.5,5833.33,23510.83,False,10972
558,6275648,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA SAO MIGUEL,264.0,1960,M,BRANCA,NAO,16860.29,5620.1,22480.39,False,10975
559,6276148,1,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,IV,BIBLIOTECONOMIA,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1964,F,PARDA,NAO,15356.28,2491.92,17848.2,False,10976
560,6276288,1,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,III,BIBLIOTECONOMIA,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1961,F,AMARELA,NAO,14823.22,2487.48,17310.7,False,10982
561,6276555,1,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,ADMINISTRACAO,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1964,M,BRANCA,NAO,16043.35,412.23,16455.58,False,11027
562,6276580,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS10,EFETIVO,40,SUBPREFEITURA SANTO AMARO,149.0,1960,M,BRANCA,NAO,18595.13,2945.38,21540.51,False,10976
563,6276598,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1956,M,PARDA,NAO,16753.67,2116.71,18870.38,False,10978
564,6276644,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS14,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1967,M,BRANCA,NAO,18664.42,412.23,19076.65,False,10965
565,6276687,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,GABINETE DO PREFEITO,865.0,1957,F,BRANCA,NAO,15698.94,2610.08,18309.02,False,10976
566,6276784,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS11,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1964,M,BRANCA,NAO,20185.84,412.23,20598.07,False,10971
567,6276822,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1964,M,BRANCA,NAO,19541.48,2426.47,21967.95,False,10965
568,6276831,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1966,M,BRANCA,NAO,18093.95,412.23,18506.18,False,10986
569,6276849,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1960,M,BRANCA,NAO,18809.92,412.23,19222.15,False,10978
570,6277195,1,ENGENHEIRO,QPDU,I,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA IPIRANGA,138.0,1962,M,BRANCA,NAO,13389.57,412.23,13801.8,False,10968
571,6277870,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA SANTANA/TUCURUVI,183.0,1963,M,BRANCA,NAO,18093.95,412.23,18506.18,False,10983
572,6283659,2,AUDITOR FISCAL TRIBUTARIO MUNICIPAL,QPAT,II,,,EFETIVO,44,SECRETARIA MUNICIPAL DA FAZENDA,972.0,1966,M,AMARELA,NAO,24175.55,8079.44,32254.99,False,8406
573,6283683,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA PIRITUBA,167.0,1953,M,BRANCA,NAO,13932.57,2362.78,16295.35,False,10963
574,6283705,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,I,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA PERUS/ANHANGUERA,114.0,1958,M,BRANCA,NAO,8480.36,412.23,8892.59,False,10963
575,6283713,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,II,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE HABITACAO,247.0,1957,F,BRANCA,NAO,10602.36,1896.56,12498.92,False,10972
576,6283748,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,SUBPREFEITURA VILA MARIANA,152.0,1961,M,BRANCA,NAO,17469.64,2757.74,20227.38,False,10961
577,6283756,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA MOOCA,192.0,1959,M,BRANCA,NAO,19541.48,412.23,19953.71,False,10976
578,6283764,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1962,F,BRANCA,NAO,18595.13,2945.38,21540.51,False,10969
579,6283781,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS10,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1956,M,BRANCA,NAO,20042.66,7601.95,27644.61,False,10957
580,6284655,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,DAS11,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1961,F,BRANCA,NAO,15499.49,2622.61,18122.1,False,10956
581,6284736,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,II,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1952,F,BRANCA,NAO,9013.75,1674.15,10687.9,False,10954
582,6287930,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA VILA MARIANA,152.0,1957,M,BRANCA,NAO,19541.48,5992.71,25534.19,True,10947
583,6287964,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS10,EFETIVO,40,SUBPREFEITURA IPIRANGA,138.0,1960,M,BRANCA,NAO,20042.66,412.23,20454.89,False,10954
584,6288481,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA IPIRANGA,138.0,1951,M,AMARELA,NAO,13850.58,1939.08,15789.66,True,10958
585,6288499,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1955,M,BRANCA,NAO,17374.38,4618.09,21992.47,False,10961
586,6288502,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,GABINETE DO PREFEITO,865.0,1962,M,PARDA,NAO,15698.94,3900.88,19599.82,False,10958
587,6288511,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1961,M,BRANCA,NAO,18809.92,412.23,19222.15,False,10962
588,6288588,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,GABINETE DO PREFEITO,865.0,1960,M,BRANCA,NAO,13850.58,1939.08,15789.66,True,10961
589,6288596,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA MOOCA,192.0,1961,M,BRANCA,NAO,13050.1,2371.32,15421.42,False,10965
590,6288600,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA BUTANTA,122.0,1961,F,BRANCA,NAO,18093.95,2533.15,20627.1,True,10962
591,6288961,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1961,F,BRANCA,NAO,14930.49,4990.91,19921.4,False,10951
592,6288979,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SUBPREFEITURA IPIRANGA,138.0,1957,F,BRANCA,NAO,16043.35,2246.06,18289.41,True,10955
593,6289720,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,DAS10,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1965,F,BRANCA,NAO,14351.76,2351.31,16703.07,False,10961
594,6289797,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS10,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1963,F,BRANCA,NAO,18595.13,2945.38,21540.51,False,10949
595,6289851,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA VILA MARIANA,152.0,1962,M,BRANCA,NAO,13850.58,412.23,14262.81,False,10958
596,6289886,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA SANTANA/TUCURUVI,183.0,1962,M,BRANCA,NAO,18093.95,2945.38,21039.33,False,10947
597,6289894,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1966,M,NAO INFORMADO,NAO,18093.95,2265.63,20359.58,False,10947
598,6289916,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA IPIRANGA,138.0,1956,M,BRANCA,NAO,15248.6,2448.88,17697.48,False,10965
599,6289967,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1963,M,BRANCA,NAO,19541.48,392.6,19934.08,False,10963
600,6289983,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1959,M,BRANCA,NAO,16753.67,2757.74,19511.41,False,10958
601,6289991,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1960,M,BRANCA,NAO,18093.95,2827.6,20921.55,False,10957
602,6290001,1,ENGENHEIRO,QPDU,I,ENGENHARIA,DAS14,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1961,M,PRETA,NAO,12650.55,838.14,13488.69,False,10956
603,6290141,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,III,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1953,F,PRETA,NAO,9900.03,1798.23,11698.26,False,10943
604,6290167,1,ESP ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,PCCS,III,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1956,F,NAO INFORMADO,NAO,7817.93,2204.82,10022.75,False,10947
605,6290639,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,DAS12,EFETIVO,40,SUBPREFEITURA IPIRANGA,138.0,1955,M,BRANCA,NAO,13540.59,2207.67,15748.26,False,10956
606,6291821,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1961,F,BRANCA,NAO,15072.48,5577.36,20649.84,False,10943
607,6291945,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1966,F,BRANCA,NAO,14001.95,3030.8,17032.75,False,10951
608,6292801,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1963,M,BRANCA,NAO,18093.95,412.23,18506.18,False,10937
609,6292810,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,AGRONOMIA,DAS10,EFETIVO,40,SUBPREFEITURA SAO MATEUS,178.0,1961,M,BRANCA,NAO,15627.26,522.65,16149.91,False,10935
610,6292828,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SUBPREFEITURA MOOCA,192.0,1967,F,BRANCA,NAO,19541.48,412.23,19953.71,False,10935
611,6292836,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SUBPREFEITURA GUAIANASES,208.0,1960,M,BRANCA,NAO,18521.15,3302.79,21823.94,False,10937
612,6292844,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1964,F,AMARELA,NAO,18093.95,2533.15,20627.1,True,10935
613,6293051,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,II,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE HABITACAO,247.0,1954,M,BRANCA,NAO,10602.36,1896.56,12498.92,False,10937
614,6293077,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,II,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA SANTO AMARO,149.0,1956,M,BRANCA,NAO,10602.36,1767.06,12369.42,True,10937
615,6293115,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,SUBPREFEITURA VILA MARIANA,152.0,1962,M,BRANCA,NAO,18809.92,4297.76,23107.68,False,10936
616,6293603,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1965,M,BRANCA,NAO,20042.66,412.23,20454.89,False,10961
617,6295096,2,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,II,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1962,F,AMARELA,NAO,7587.59,412.23,7999.82,False,4644
618,6295215,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1957,M,BRANCA,NAO,11874.63,412.23,12286.86,False,10934
619,6295231,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1967,M,BRANCA,NAO,15233.78,412.23,15646.01,False,10930
620,6296882,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1958,M,BRANCA,NAO,18093.95,2945.38,21039.33,False,10937
621,6296921,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1958,F,BRANCA,NAO,13754.58,3709.12,17463.7,False,10927
622,6297005,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,898.0,1953,F,BRANCA,NAO,14854.95,2491.92,17346.87,False,10936
623,6297030,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,DAS11,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1960,F,BRANCA,NAO,15499.49,5165.4,20664.89,False,10928
624,6297056,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1963,F,AMARELA,NAO,15006.03,2513.07,17519.1,False,10926
625,6297111,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1963,F,BRANCA,NAO,13754.58,2337.87,16092.45,False,10927
626,6297820,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,GEOLOGIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1958,F,BRANCA,NAO,16753.67,2757.74,19511.41,False,10969
627,6301096,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,TECNOLOGIA EM ELETRICIDADE,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1967,M,PARDA,NAO,13754.58,196.3,13950.88,False,10913
628,6302084,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,TECNOLOGIA EM ELETRICIDADE,,EFETIVO,40,SUBPREFEITURA SANTANA/TUCURUVI,183.0,1965,M,BRANCA,NAO,16285.93,412.39,16698.32,False,10913
629,6302726,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SUBPREFEITURA PIRITUBA,167.0,1966,F,BRANCA,NAO,18206.07,2961.07,21167.14,False,10909
630,6304338,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,I,ENGENHARIA,,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1964,M,BRANCA,NAO,8309.1,,8309.1,False,10926
631,6304354,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,II,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA SE,277.0,1966,M,BRANCA,NAO,10602.36,1767.06,12369.42,True,10936
632,6304583,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,SOCIOLOGIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1965,M,BRANCA,NAO,16198.64,3112.0,19310.64,False,10901
633,6304711,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1964,F,BRANCA,NAO,18093.95,2945.38,21039.33,False,10927
634,6304729,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1960,M,BRANCA,NAO,16753.67,412.23,17165.9,False,10905
635,6304753,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,III,TECNOLOGIA EM MECANICA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1955,M,BRANCA,NAO,12280.86,412.33,12693.19,False,10906
636,6305695,2,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,III,SOCIOLOGIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE HABITACAO,247.0,1952,M,BRANCA,NAO,12484.96,2179.91,14664.87,False,10900
637,6306365,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1964,M,BRANCA,NAO,16753.67,3008.21,19761.88,False,10894
638,6308708,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SUBPREFEITURA PIRITUBA,167.0,1964,M,BRANCA,NAO,18196.7,412.23,18608.93,False,10886
639,6308767,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,III,TECNOLOGIA EM MECANICA,,EFETIVO,40,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,509.0,1959,M,BRANCA,NAO,12404.27,412.23,12816.5,False,10899
640,6310729,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1964,F,BRANCA,NAO,18093.95,412.23,18506.18,False,10877
641,6310737,1,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,AGRONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1960,M,BRANCA,NAO,18762.56,6166.07,24928.63,False,10881
642,6310885,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,SOCIOLOGIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE HABITACAO,247.0,1955,F,BRANCA,NAO,14854.95,2491.92,17346.87,False,10885
643,6310893,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,III,SOCIOLOGIA,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1967,F,BRANCA,NAO,9748.95,1338.41,11087.36,False,10884
644,6311237,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,III,TECNOLOGIA EM ELETRICIDADE,,EFETIVO,40,SUBPREFEITURA SAO MATEUS,178.0,1959,M,BRANCA,NAO,9842.12,1790.12,11632.24,False,10873
645,6311300,1,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,SOCIOLOGIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1963,F,BRANCA,NAO,16043.35,412.23,16455.58,False,10873
